Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Tenure_Months,Age,Total_bought,Total_purchases,Cmp_Accepted,Kmeans_labels
1957,Graduation,Uncommitted,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,21,57,1617,25,0,1
1954,Graduation,Uncommitted,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,3,60,27,6,0,3
1965,Graduation,Committed,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,10,49,776,21,0,0
1984,Graduation,Committed,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,4,30,53,8,0,6
1981,PhD,Committed,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,5,33,422,19,0,6
1967,Master,Committed,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,9,47,716,22,0,0
1971,Graduation,Uncommitted,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,19,43,590,21,0,1
1985,PhD,Committed,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,13,29,169,10,0,4
1974,PhD,Committed,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,12,40,46,6,0,4
1950,PhD,Committed,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,3,64,49,2,1,2
1976,Basic,Committed,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,19,38,61,6,0,4
1959,Graduation,Uncommitted,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,7,55,1102,16,0,3
1952,Master,Uncommitted,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,7,62,310,15,0,3
