SeniorCitizen,Tenure,MonthlyCharges,TotalCharges,Gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn_Yes,MonthlyCh_TotalCh_Ratio,MonthlyCh_TotalCh_Ratio_category
0,0.21377142466626917,0.47400864319184377,0.29775233263882045,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.6366629665968684,0.3333333333333333
0,0.0,0.4641277832483273,0.10324304235684265,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0.9734781295488923,1.0
0,0.25377401623099727,0.4404256315199737,0.2950449213556702,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0.5775118684611524,0.3333333333333333
0,0.0,0.5016891445028178,0.1177203095157304,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0.9631226731575382,1.0
0,0.08362629794734869,0.60646157652516,0.221537171340838,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0.8390660624381019,1.0
0,0.1647741825037079,0.559728659479356,0.3003746273491282,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0.7110094171456527,0.6666666666666667
0,0.10011263326102578,0.4296530293132589,0.15737126809838686,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.8145088939832197,0.6666666666666667
0,0.19177189750443802,0.6370377012539636,0.33929977707096487,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0.6622582329351272,0.3333333333333333
0,0.33417362275297896,0.4727348031322867,0.35398894108482926,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.439259234055974,0.0
0,0.12129339060064832,0.4563792459996656,0.19914447778435537,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.7954662202835784,0.6666666666666667
0,0.1374461450230932,0.23578813996301945,0.16231494651867773,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.7451405626130375,0.6666666666666667
0,0.31225770168063266,0.612165817307223,0.4338774877734833,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0.4866896957610567,0.0
0,0.27021211813495394,0.6271263713687222,0.4096011717065704,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0.5460761130171474,0.3333333333333333
0,0.1795078530905447,0.6448018119353071,0.3278204164585433,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0.6849772189735056,0.6666666666666667
0,0.3941267586145373,0.707760960833263,0.5766648275974677,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0.3251096204565435,0.0
0,0.2831700851401918,0.4012136928493944,0.2389422574897764,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.5397335018921912,0.3333333333333333
0,0.43110927688197553,0.6553991669236747,0.5310629059613181,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0.3396800494465125,0.0
0,0.10011263326102578,0.4695604304071136,0.1922426129212591,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0.8203126507096354,0.6666666666666667
0,0.1606052706232639,0.566003590252455,0.29628548872149857,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0.7216953427434121,0.6666666666666667
0,0.11403323302583812,0.35444406066020256,0.13407732841724074,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.8139690746044151,0.6666666666666667
0,0.31225770168063266,0.4784668917478024,0.3543426561592753,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0.4722665540027555,0.0
0,0.27021211813495394,0.4772279750865948,0.3363085996170367,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0.5380457524681914,0.3333333333333333
0,0.1991549273301439,0.47008666845821007,0.27798839246046847,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0.6704234189540758,0.6666666666666667
