Contract_Month-to-month,InternetService_Fiber optic,MonthlyCh_TotalCh_Ratio,PaymentMethod_Electronic check,DeviceProtection_Yes,Churn_Yes
0,0,0.6366629665968684,0,1,0
1,0,0.9734781295488923,0,0,1
0,0,0.5775118684611524,0,1,0
1,1,0.9631226731575382,1,0,1
1,1,0.8390660624381019,1,1,1
1,1,0.7110094171456527,0,0,0
1,0,0.8145088939832197,0,0,0
1,1,0.6622582329351272,1,1,1
0,0,0.439259234055974,0,0,0
1,0,0.7954662202835784,0,0,0
0,0,0.7451405626130375,0,0,0
0,1,0.4866896957610567,0,1,0
1,1,0.5460761130171474,0,1,1
1,1,0.6849772189735056,1,1,0
0,1,0.3251096204565435,0,1,0
0,0,0.5397335018921912,0,0,0
0,1,0.3396800494465125,0,1,0
1,0,0.8203126507096354,0,1,1
1,1,0.7216953427434121,1,1,0
0,0,0.8139690746044151,0,0,0
0,0,0.4722665540027555,0,0,0
1,0,0.5380457524681914,0,0,0
1,0,0.6704234189540758,0,0,0
1,1,0.5506933372519465,1,0,1
0,0,0.2920555842826848,0,1,0
1,0,0.7490821671860227,0,0,1
0,1,0.3055869858130726,0,1,0
1,1,0.9831309684846954,0,1,0
0,0,0.6659089912292562,0,1,0
0,1,0.1634928697583696,0,0,0
1,1,0.8957925571682561,1,0,1
1,1,0.5531137736759062,0,1,0
1,1,0.6357772714521638,1,1,1
1,1,0.8002642967052138,0,1,1
0,0,0.8199899289607903,0,0,0
0,0,0.2985240343125706,0,0,0
0,0,0.7247453161387319,0,0,0
0,0,0.4498317626831799,0,1,0
1,0,0.7830409774036154,1,0,0
1,1,0.5613483107741931,1,0,0
1,0,0.9771161064353436,0,0,0
1,1,0.993477789316929,1,0,1
0,0,0.5145212761595566,0,0,0
0,0,0.3897663046607811,0,1,0
1,1,0.5834043731669736,1,0,0
1,1,0.7687342051279097,0,0,1
1,0,0.6870365447233754,0,0,0
1,1,0.8447644230024056,0,0,1
0,0,0.4640011983698922,0,1,0
1,1,0.7357342216959406,1,0,1
0,1,0.4264595168665345,0,0,0
0,1,0.4040728356202887,1,1,0
0,0,0.6209905910508863,0,0,0
0,1,0.1243303327258238,0,1,0
1,1,0.5570798753887759,1,1,0
1,1,0.4523858803523628,0,0,0
0,0,0.3002421995424261,0,1,0
0,0,0.7415977798321138,0,1,0
1,1,0.8274472020609295,1,0,1
1,0,0.9261110532187335,1,0,0
0,1,0.561078036200605,1,0,0
0,0,0.6465245439449203,0,1,0
0,0,0.5617152903747294,0,0,0
1,1,0.8025798225500911,0,1,0
0,0,0.5108502325793134,1,0,0
0,1,0.4234663577819979,0,1,0
0,0,0.4702792276343271,0,0,0
1,0,0.9493079941888184,0,0,0
0,1,0.4939070721836042,1,1,0
0,0,0.5479190053107056,0,0,0
1,0,0.8308761595031268,0,0,0
1,0,0.6664678163193922,1,0,0
0,0,0.556085753680288,0,0,0
1,0,0.801595068535106,1,0,0
1,1,0.8628573291605097,0,1,1
1,1,0.5884129403036139,0,1,0
0,0,0.5479968085011492,0,0,0
1,1,0.8249807912357447,0,0,0
0,0,0.6218197693804561,0,0,0
0,0,0.527704862826953,0,0,0
0,0,0.5593647186452392,0,0,0
1,0,0.6570623698675129,0,0,0
1,1,0.6479647962678683,0,1,0
0,0,0.3627542988586361,0,1,0
1,1,0.4189159003973707,0,1,0
0,1,0.0411836938583177,0,1,0
1,1,0.7956822617424051,1,0,1
0,0,0.2741193296650652,0,0,0
1,0,0.879372070136559,0,0,1
0,0,0.516203643246413,0,0,0
1,1,0.6843784956492587,1,1,1
0,1,0.6086139889901955,0,1,0
0,0,0.3872336745201372,0,1,0
0,1,0.3394702164275301,0,1,1
1,0,0.9048932526445796,0,0,0
0,1,0.3108240062983205,1,0,0
0,0,0.6515076812720163,0,0,0
0,1,0.5893079960346783,0,0,0
0,0,0.3038797019272631,0,0,0
1,1,0.5046834086789918,1,0,1
