Feature,Mutual_Information,Correlation,Variance,Importance,Average_Score
marital_status_ Married-civ-spouse,0.9130090273319909,1.0,1.0000000000000002,0.5086969466838663,0.8554264935039644
marital_status_ Never-married,0.5475973562420203,0.7179754318553894,0.8778488680519531,0.17743567867598817,0.5802143337063378
age,0.552804138335597,0.5424258788868165,0.1299687314449144,0.9060537935908882,0.532813135564554
education_num,0.5256068964455529,0.7523442660908924,0.11600343782645081,0.6461119524538212,0.5100166382041793
capital_balance,1.0,0.0438563209921367,0.05831168990533345,0.7046542724754339,0.45170557084322605
gender_ Male,0.24374110997635173,0.48554535018291106,0.8805316644172055,0.09490897522436081,0.4261817749502073
relationship_ Not-in-family,0.174926430515356,0.4327284046518768,0.7655410795046906,0.09368988206702833,0.3667214491847379
hours_per_week,0.3236543790915316,0.5142609011825939,0.059922136742522475,0.5000369088019776,0.3494685814546564
relationship_ Own-child,0.30028796150380627,0.5068727968988251,0.5068195328432865,0.06509537433580277,0.34476891639543017
fnlwgt,0.25507858972892916,0.018234110376981843,0.020599240733187977,1.0,0.3234779852097748
occupation_ Exec-managerial,0.17151012169409413,0.47816905429477896,0.4613732598078287,0.13236987159301375,0.31085557684742887
workclass_ Private,0.14463785209381874,0.261809675187675,0.7751900865205902,0.058954825969002866,0.3101481099427717
occupation_ Prof-specialty,0.1411345835473218,0.40622145792408143,0.4658706340802432,0.11033043615680248,0.28088927792711227
occupation_ Other-service,0.1583683287741364,0.37132949689477407,0.3822671736113639,0.045604102978903806,0.23939227556479453
relationship_ Unmarried,0.13631952193235158,0.3260356448600254,0.3822671736113602,0.04685130483604231,0.22286841130994486
race_ White,0.07204074814062028,0.18867183751871971,0.484344536369125,0.03313568713649957,0.19454820229124115
race_ Black,0.028293701477138142,0.19675814736748734,0.34015665659794087,0.02553831844884678,0.1476867059728533
workclass_ Self-emp-inc,0.09509016562207401,0.30767089587596125,0.1378744785741273,0.037645799954487774,0.14457033500666258
relationship_ Wife,0.056974748621041696,0.27950445227218174,0.17847391642567914,0.04329772048886157,0.13956270945194105
occupation_ Craft-repair,0.006805106929237905,0.046296938581316956,0.46508982502593643,0.038235691200617206,0.13910689043427713
occupation_ Sales,0.014890379176795868,0.03952723624208091,0.4206651985634388,0.03649183237586759,0.1278936615895458
occupation_ Machine-op-inspct,0.04131146387155448,0.16881633553492428,0.24474814640456666,0.0235124727609997,0.11959710464301128
occupation_ Handlers-cleaners,0.06928616215578132,0.2091362797970138,0.1716940990655548,0.02270545060444706,0.11820549790569923
native_country_ United-States,0.0296974511709287,0.08849321794169623,0.32281669983528205,0.02945621718018425,0.11761589653202281
workclass_ Self-emp-not-inc,0.018630045915724466,0.05555655773691059,0.30525337329800106,0.04584233133420089,0.10632057707120926
workclass_ Local-gov,0.005667710239021487,0.06252686558401879,0.2564062444226879,0.0309933089776921,0.08889853230585507
relationship_ Other-relative,0.033510670077434204,0.18803541112039665,0.11482876309282226,0.014231861634604603,0.08765167648131443
marital_status_ Separated,0.03634792778841471,0.1646389775867623,0.12108715459025085,0.013125224660896414,0.08379982115658106
occupation_ Farming-fishing,0.015397231165816464,0.125107394567456,0.1273234573870674,0.026939295044819463,0.07369184454128984
occupation_ Transport-moving,0.0013765401966656017,0.05416094022944359,0.19840842961348426,0.025833426277212593,0.0699448340792015
marital_status_ Widowed,0.0,0.13098614253945867,0.10703768084907532,0.011934995229451508,0.06248970465449638
native_country_ Mexico,0.005983598183043793,0.14366877956027851,0.07950142975744058,0.010545556055089418,0.05992484088896307
workclass_ State-gov,0.0,0.02018750032397918,0.1629364771386283,0.027185710457279594,0.05257742197997177
occupation_ Tech-support,0.0,0.04938543178084481,0.11771036659831377,0.026386941076799956,0.048370684863989634
race_ Asian-Pac-Islander,0.0190425648540397,0.0236616175806287,0.11558093635590355,0.014446144845606737,0.04318281590904467
occupation_ Protective-serv,0.0,0.057329277218189555,0.08384335259114785,0.01736971803343539,0.0396355869606932
marital_status_ Married-spouse-absent,0.0,0.0937887197276131,0.04856205210743925,0.006582660248330972,0.03723335802084583
race_ Other,0.010941884559132467,0.07026212938534576,0.03041026491949988,0.004617042606845205,0.029057830367705824
occupation_ Priv-house-serv,0.0,0.08491281332105356,0.018830237204374017,0.0012989482031291945,0.026260499682139192
native_country_ Columbia,0.03540449981595408,0.045879896833186544,0.007314540620411803,0.0012130966439176934,0.02245300847836753
native_country_ Canada,0.032223726828961394,0.025205529369065754,0.014073232347326367,0.005842363271455594,0.019336212954202278
native_country_ Germany,0.02024720308592566,0.030242384447084797,0.01684954343541264,0.0068957617427128125,0.018558723177783978
native_country_ Philippines,0.013934342631461615,0.026969852585225936,0.02476039061304424,0.005739840278713043,0.017851106527111207
native_country_ Puerto-Rico,0.010130134253009768,0.041539172670819295,0.014337810801261092,0.002787428927604865,0.017198636663173755
native_country_ India,0.005871301935722501,0.04336817064642368,0.013146929440913847,0.004868524848529116,0.01681373171789729
native_country_ Dominican-Republic,0.0016837845892001655,0.05181705637514825,0.008774241465194024,0.0010582206361761765,0.015833325766429655
native_country_ Vietnam,0.013441714601403889,0.039015339641386516,0.008376247260565428,0.0018582679911231153,0.015672892373619737
native_country_ El-Salvador,0.0,0.04572710445998305,0.013146929440913677,0.0012548492175574245,0.015032220779613538
native_country_ Peru,0.026693883205645554,0.02795842024156449,0.003860088757698323,0.000675201006498302,0.014796898302851668
native_country_ Haiti,0.02439846568429686,0.02789665327044188,0.00545519333621023,0.0009049406346470461,0.014663813231399004
native_country_ Guatemala,5.928031226792011e-05,0.045954317240077834,0.008243564854728392,0.0007347233302634228,0.013747971434334393
native_country_ Japan,0.008774539830664277,0.03049074410302987,0.007712746876573752,0.003439655908122365,0.012604421679597565
native_country_ France,0.016119353983240544,0.028484927592750568,0.003461113814767226,0.0020969864085338768,0.012540595449823054
native_country_ Taiwan,0.0,0.037563322869120876,0.005455193336211509,0.001818081119096334,0.01120914933110718
